,symbol
3918679,A
5119083,AA
3923691,AAL
2272191,AAN
0,AAOI
1554,AAON
6567,AAT
8798,AAWW
2277204,AAXN
3927246,ABBV
3928981,ABC
12326,ABCB
5119886,ABEO
17339,ABG
21782,ABM
5124919,ABR
3933993,ABT
26795,ABTX
5128887,AC
5129922,ACAD
5133855,ACBI
2281854,ACC
5134910,ACCO
5138535,ACGL
2285710,ACHC
5143568,ACHN
5146882,ACIA
2290723,ACIW
27867,ACLS
2295736,ACM
5147804,ACNB
32731,ACOR
5152837,ACRE
5154776,ACRS
5155849,ACRX
5158092,ACT
5158614,ACTG
5162911,ACV
36197,ADC
5164079,ADES
3939005,ADM
5168099,ADMS
2298905,ADNT
5169548,ADPT
5169685,ADRO
5170880,ADSW
5171701,ADT
41210,ADTN
46223,ADUS
5173533,ADXS
5177172,AE
3944017,AEE
48791,AEGN
53804,AEIS
58817,AEL
2299696,AEO
3949029,AEP
5182205,AERI
3954041,AES
2304709,AFG
5183768,AFH
5185509,AFI
3959053,AFL
5186471,AG
2309722,AGCO
5189773,AGEN
5194786,AGFS
5195905,AGIO
5197534,AGM
5202567,AGNC
5205502,AGO
5209459,AGR
5210482,AGX
62830,AGYS
5215515,AHC
67843,AHH
5218516,AHT
5222639,AI
3964065,AIG
5227672,AIMC
5230961,AIMT
69495,AIN
5232077,AINV
5236026,AIQ
74508,AIR
79521,AIT
3969077,AIV
3974089,AJG
84534,AJRD
5240493,AJX
3979101,AKAM
5241729,AKBA
89547,AKR
94560,AKRX
98910,AKS
5243193,AKTS
5244234,AL
3984113,ALB
5246431,ALC
5246623,ALCO
2314735,ALE
2319748,ALEX
103923,ALG
108936,ALGT
5251656,ALIM
3989125,ALK
5254104,ALKS
5259137,ALLY
5260586,ALNY
5264517,ALO
112193,ALRM
5267821,ALSK
5272854,ALSN
5274823,ALTR
5279856,ALV
5284889,ALX
2321637,AM
113309,AMAG
3993859,AMAT
5289922,AMBA
118322,AMBC
5291746,AMC
2322940,AMCX
3998871,AMD
4003883,AME
2325079,AMED
4008895,AMG
5293272,AMH
5294895,AMKR
119979,AMN
5299928,AMNB
5304961,AMOT
5309994,AMPE
124508,AMPH
5312457,AMRC
5314842,AMRS
5317180,AMSC
125876,AMSF
5322213,AMSWA
5327246,AMTD
129397,AMWD
2330092,AN
5332279,ANAB
5333024,ANAT
134410,ANDE
139423,ANF
5338057,ANGI
144436,ANGO
5340106,ANH
148328,ANIK
153341,ANIP
5345139,AOBC
4013907,AOS
5350172,AOSL
5352615,AP
4018919,APA
5357648,APAM
158250,APEI
5359373,APLE
161277,APOG
5360545,APPF
5361689,APTS
5363898,AQMS
5365018,AR
5366592,ARA
5367530,ARAY
5370784,ARC
166290,ARCB
5374543,ARCC
5378387,ARCH
5379209,ARD
5379921,ARDX
171303,ARI
5381322,ARL
5386355,ARMK
5387885,ARNA
4023931,ARNC
173861,AROC
5392779,AROW
5397812,ARQL
174886,ARR
5402845,ARTL
5403111,ARTNA
2335105,ARW
2340118,ASB
5408144,ASC
2345131,ASGN
2350144,ASH
177898,ASIX
5409767,ASMB
5412048,ASPS
178695,ASTE
5414674,ASYS
5419707,AT
5422250,ATEC
5425676,ATEN
2355157,ATGE
5427139,ATH
5427915,ATHX
2360170,ATI
5431084,ATKR
5431987,ATLO
183708,ATNI
2365183,ATO
2370196,ATR
5436995,ATRA
5438313,ATRC
5441946,ATRI
5446979,ATRO
5452012,ATRS
5457045,ATSG
4028943,ATVI
5461192,AUBN
5466225,AUMN
188721,AVAV
191951,AVD
5468914,AVEO
5471390,AVID
5476423,AVNW
196964,AVP
2375209,AVT
5481456,AVTR
5481621,AVX
5486654,AVXL
5490034,AWI
201977,AWR
5493363,AXAS
5498396,AXDX
206990,AXE
5503429,AXGN
212003,AXL
5508462,AXR
5513495,AXS
5517657,AXTA
5518956,AXTI
2380222,AYI
5523989,AYR
5527369,AYX
5528074,AZPN
217016,AZZ
222029,B
4033955,BAC
5533107,BAH
227042,BANC
5535408,BANF
231351,BANR
5540441,BATRA
5541382,BATRK
4038967,BAX
2384752,BBBY
5542323,BBGI
5547333,BBI
5552366,BBSI
4043979,BBT
5557399,BBW
5561226,BBX
4048991,BBY
2389765,BC
5562239,BCBP
236364,BCC
238079,BCEI
2394778,BCO
240077,BCOR
5566327,BCOV
245090,BCPC
5568314,BCRH
5569869,BCRX
2399791,BDC
5574902,BDGE
5579935,BDN
5584968,BDSI
250103,BEAT
5589365,BECN
253043,BELFB
4054003,BEN
5593217,BERY
5595045,BFAM
5596798,BFIN
258056,BFS
5600458,BG
5605097,BGCP
263069,BGG
268082,BGS
5610130,BGSF
5611567,BH
5616600,BHB
271228,BHE
276241,BHLB
5621633,BHVN
5622310,BIDU
281113,BIG
2404804,BIO
5625943,BIOL
5630976,BIOS
5636009,BJ
286126,BJRI
4059015,BK
5637594,BKCC
5640752,BKD
291139,BKE
2409817,BKH
5644309,BKI
4064027,BKR
5645479,BKU
5647732,BL
5648537,BLBD
5649996,BLCM
296152,BLD
5651270,BLDR
2414830,BLKB
4064632,BLL
297265,BLMN
5654930,BLUE
5656583,BLX
5661616,BMCH
299133,BMI
5662618,BMRC
5667651,BMRN
5672684,BMTC
4069644,BMY
304146,BNED
5677717,BNFT
5679307,BOCH
2418699,BOH
5684340,BOKF
5689373,BOLD
305237,BOOM
310292,BOOT
5690249,BOX
311600,BPFH
5691500,BPMC
5692684,BPOP
316613,BRC
5697717,BREW
5702750,BRG
321626,BRKL
5704208,BRKR
326639,BRKS
2423712,BRO
2428725,BRX
5709097,BRY
5709471,BSET
5714504,BSRR
5719537,BSTC
4074656,BSX
5724570,BTU
5729043,BUD
5731694,BURL
5733274,BUSE
5738307,BV
5738694,BW
4079668,BWA
5739835,BWEN
5743810,BWFG
5746271,BWXT
5748649,BXC
5752444,BXG
2430285,BXS
2435298,BYD
5752983,BZH
4084680,C
5758016,CAAS
2440311,CABO
5762110,CAC
5767143,CACC
2441438,CACI
331652,CADE
5772176,CAE
4089692,CAG
4094704,CAH
5777209,CAI
2446451,CAKE
332343,CAL
5778319,CALA
337356,CALM
5779647,CALX
342369,CAMP
2451464,CAR
5782115,CARA
5783612,CARB
5785720,CARO
347382,CASH
5787286,CASS
2456477,CASY
352395,CATM
355399,CATO
2461490,CATY
360412,CBB
365425,CBL
5792319,CBLI
5795709,CBNK
5796244,CBPX
2466503,CBRL
4099716,CBS
2471516,CBSH
2476529,CBT
370438,CBU
5797738,CBZ
2481542,CC
5802771,CCBG
5807804,CCC
5808106,CCF
5813139,CCK
4103223,CCL
375451,CCMP
5818172,CCNE
5823205,CCO
380381,CCOI
384855,CCRN
389397,CCS
5826768,CCU
5831787,CCXI
5833781,CDE
5838814,CDEV
2482669,CDK
4108235,CDNS
390799,CDR
5839756,CDXS
5842204,CDZI
5847237,CECE
395812,CECO
5852270,CEM
400825,CENT
405838,CENTA
409058,CENX
4113247,CERN
5854673,CERS
5859706,CETV
414071,CEVA
4118259,CF
5864739,CFFI
5869772,CFFN
4121846,CFG
5874805,CFMS
2483988,CFR
2489001,CFX
5875946,CGA
2491941,CGNX
418357,CHCO
423370,CHCT
4123147,CHD
2496954,CHDN
2501967,CHE
424511,CHEF
5878902,CHGG
5880452,CHH
5885485,CHIC
2506980,CHK
5888120,CHKP
5893153,CHMG
5898186,CHMI
5899764,CHRS
4128159,CHRW
426639,CHS
431652,CHUY
5901067,CIA
2511993,CIEN
5906100,CIM
5909158,CIO
433500,CIR
5910604,CIT
5913142,CIVB
5917918,CIX
5922951,CIZN
438513,CKH
4133171,CL
2517006,CLB
5927982,CLCT
5933015,CLDR
438980,CLDT
5933696,CLDX
441399,CLF
5938729,CLFD
2522019,CLGX
2527032,CLH
2532045,CLI
5943762,CLNE
5946942,CLNY
5948337,CLPR
5949071,CLR
5952259,CLSD
5953168,CLUB
5956594,CLVS
446454,CLW
4138183,CMA
2537058,CMC
5958644,CMCO
4143195,CMCSA
2542071,CMD
5963677,CMLS
449212,CMO
2547084,CMP
5968297,CMPR
5971891,CMRE
5974202,CMRX
4148207,CMS
5975903,CMT
454225,CMTL
5980936,CNA
5985969,CNAT
5987597,CNBKA
4153219,CNC
5992630,CNCE
5994118,CNDT
5994879,CNET
2551105,CNK
459238,CNMD
2554286,CNO
5997499,CNOB
4157723,CNP
6002532,CNS
464251,CNSL
6006411,CNTY
2558373,CNX
6011444,CNXN
6016477,CODI
4162735,COG
2563386,COHR
467856,COHU
472869,COKE
477882,COLB
6019913,COLL
6021092,COLM
6026125,COMM
2568399,CONE
482895,CONN
4167747,COP
2570140,COR
486954,CORE
6027688,CORP
6030031,CORR
490629,CORT
4172759,COTY
6033289,COUP
6034520,COWN
6037918,CPA
4174382,CPB
494554,CPE
499567,CPF
6041459,CPK
4179394,CPRT
6046492,CPRX
504580,CPS
506970,CPSI
6049807,CPSS
6054840,CPST
2572462,CPT
2577475,CR
6059753,CRAI
6064786,CRBP
6066086,CRC
511371,CRCM
2582488,CREE
2587501,CRI
6067384,CRIS
6072276,CRK
2591556,CRL
6077309,CRMT
512873,CROX
2596445,CRS
6082342,CRTX
2601458,CRUS
516341,CRVL
6082513,CRVS
521354,CRY
526367,CRZO
6083471,CSA
4184406,CSCO
6084608,CSFL
6089375,CSGP
531380,CSGS
536393,CSII
2606471,CSL
6094408,CSLT
6095876,CSOD
6098096,CSS
6103129,CSTE
6105093,CSTR
6105924,CSU
6110957,CSV
6115990,CSWC
6121023,CSWI
4189418,CSX
539801,CTB
6122100,CTBI
6127133,CTIC
4194430,CTL
2611484,CTLT
6132166,CTMX
6133238,CTO
6138271,CTR
544814,CTRE
6140168,CTRN
546201,CTS
4199442,CTSH
6143856,CTT
6145386,CTV
551214,CUB
6146716,CUBE
556227,CUBI
558182,CUTR
2612841,CUZ
6150547,CVA
562116,CVBF
567129,CVCO
6155580,CVCY
6160613,CVGI
571251,CVGW
6164497,CVI
2617854,CVLT
6167573,CVLY
6172606,CVNA
4204454,CVS
6173287,CVTI
2621179,CW
6178320,CWCO
6183353,CWH
6184173,CWST
575610,CWT
4209466,CXO
6189206,CXP
2626192,CXW
2631205,CY
6190780,CYBE
580623,CYH
585508,CYTK
6195813,CZNC
2636218,CZR
4212558,D
589422,DAKT
4217570,DAL
2638212,DAN
594435,DAR
599448,DBD
2641219,DCI
6200846,DCO
604461,DCOM
6205879,DCP
4220726,DD
609474,DDD
6209427,DDMX
2646232,DDS
614487,DEA
2651245,DECK
2656258,DEI
6209678,DELL
6209942,DENN
6214975,DERM
615700,DFIN
4220853,DFS
6216302,DGICA
616497,DGII
4223980,DHI
6221011,DHIL
6226044,DHT
6229629,DHX
621510,DIN
626523,DIOD
4228992,DISCA
4232603,DISCK
4235412,DISH
6232767,DJCO
6237800,DK
2659560,DKS
6241246,DLA
6246158,DLB
2663872,DLPH
6249908,DLTH
4240423,DLTR
2664388,DLX
6250949,DMRC
2669401,DNKN
2671512,DNOW
631536,DNR
636549,DO
6255944,DOC
6257576,DOOR
641562,DORM
4245435,DOW
6260211,DOX
646575,DPLO
2672919,DPZ
4245613,DRE
647868,DRH
6265244,DRIV
651512,DRQ
6269479,DRRX
6274330,DS
6278673,DSKE
6279743,DSL
656525,DSPG
4250625,DUK
6281433,DUSA
4255637,DVA
6282187,DVAX
6286189,DVD
4260649,DVN
6291222,DWSN
6296255,DX
4265661,DXC
6301288,DXCM
6305000,DXLG
661538,DXPE
2676797,DY
6310033,EARN
2681810,EAT
4266372,EBAY
6311720,EBF
666551,EBS
6316753,EBSB
6319767,EBTC
669824,ECHO
672376,ECOL
6323520,ECOM
677389,ECPG
4271384,ED
6325191,EDIT
682402,EE
6326183,EEFT
6331216,EEX
6331897,EFSC
6336050,EGAN
687415,EGBN
692470,EGHT
6341083,EGLE
697483,EGOV
2686823,EGP
702496,EGRX
6344746,EGY
703956,EHTH
6349779,EIGI
4276396,EIX
6351342,ELF
6352173,ELGX
6357206,ELS
6362239,ELVT
707247,ELY
6362935,EMAN
2691836,EME
6367960,EMKR
6372993,EML
4281408,EMN
4286420,EMR
712260,ENDP
6378026,ENFC
6379348,ENG
6384381,ENPH
2696849,ENR
2701776,ENS
717119,ENSG
6386339,ENT
720146,ENTA
6388495,ENTG
6393402,ENTR
6393948,ENV
721831,ENVA
6396328,ENZ
4291432,EOG
6401361,EPAM
723100,EPAY
2705640,EPC
6403355,EPM
2710591,EPR
6408388,EPZM
6410054,EQBK
6411102,EQC
4296444,EQR
2715604,EQT
728113,ERA
2720645,ERI
6416135,ERIE
6421168,ERII
6424070,EROS
4301456,ES
6425620,ESCA
729839,ESE
6430653,ESGR
6435686,ESI
6437252,ESNT
6438811,ESPR
6440459,ESRT
6442039,ESSA
6445255,ESTE
6450288,ESXB
6453648,ET
4306468,ETFC
734852,ETH
6453958,ETM
4311480,ETN
2721966,ETSY
2723160,EV
6458991,EVBG
6459826,EVBN
6464483,EVC
6469374,EVER
6469761,EVH
6470920,EVI
2728173,EVR
6475953,EVRI
739865,EVTC
2731526,EWBC
6477057,EXAS
4316492,EXC
2736539,EXEL
741535,EXLS
2741475,EXP
4321504,EXPD
744826,EXPO
749839,EXPR
752239,EXTN
753264,EXTR
758277,EZPW
4326516,F
2746488,FAF
4331528,FANG
6481822,FARM
763290,FARO
4333315,FAST
6486855,FATE
768303,FBC
4338327,FBHS
6488436,FBIO
6490485,FBIZ
6494074,FBK
6494909,FBM
6495643,FBMS
6499929,FBNC
6504962,FBNK
773358,FBP
6505475,FC
6510508,FCAL
6511148,FCBC
6516181,FCEL
778371,FCF
2748891,FCFS
6521214,FCNCA
783384,FCPT
6526247,FCSC
4340384,FCX
6528802,FDEF
784405,FDP
2753904,FDS
6533835,FDUS
4345396,FE
789460,FELE
6535989,FET
6537939,FEYE
794473,FF
796657,FFBC
6539527,FFG
6544560,FFIC
2758917,FFIN
6549593,FFNW
6552678,FFWM
6553984,FGBI
6558770,FGEN
6560067,FHB
2763930,FHN
6560932,FI
6562549,FIBK
2768943,FICO
6565017,FIF
2773956,FII
6567102,FISI
6572135,FIT
4350408,FITB
2778969,FIVE
6573285,FIVN
801670,FIX
806683,FIZZ
2780834,FL
6574738,FLDM
6576982,FLDR
6577371,FLEX
6582404,FLIC
4355420,FLIR
2785875,FLO
811738,FLOW
2790888,FLR
4360432,FLS
6587437,FLWS
6592470,FLXN
6593959,FLXS
6598992,FMAO
6602795,FMBH
812790,FMBI
4365444,FMC
6607828,FMNB
817803,FN
2795694,FNB
6612861,FND
6613543,FNF
6617127,FNHC
6622160,FNLC
6627193,FNWB
820173,FOE
6628439,FOLD
6631616,FONR
6636649,FOR
825228,FORM
829363,FORR
834376,FOSL
4370456,FOX
4370639,FOXA
839389,FOXF
6639689,FPI
6641137,FPL
6642596,FPRX
2800707,FR
6644186,FRBK
840977,FRGI
6649219,FRME
6654252,FRO
6658889,FRPH
6663922,FRPT
6665224,FRTA
842886,FSB
2805720,FSLR
844066,FSP
847706,FSS
6666035,FSTR
6671068,FTEK
4370823,FTI
852719,FTR
4375450,FTV
857732,FUL
2809005,FULT
6676101,FVE
6680649,FWONA
6682412,FWONK
862745,FWRD
6683801,G
6686934,GABC
6691967,GAIA
6697000,GAIN
6700663,GARS
2814018,GATX
867758,GBCI
6702374,GBDC
6704827,GBL
6709860,GBLI
6713905,GBT
872771,GBX
6715017,GCAP
6717300,GCBC
877784,GCI
879250,GCO
884263,GCP
6722333,GDDY
6723537,GDEN
6724655,GDI
2819031,GDOT
6725326,GDP
4376307,GE
2821397,GEF
6730131,GEN
6733319,GENC
2826410,GEO
885261,GEOS
6737472,GERN
890274,GES
6742505,GEVO
895287,GFF
2831423,GGG
2836436,GHC
900300,GHL
6744750,GHM
904209,GIII
4381319,GILD
4386331,GIS
6749783,GKOS
6750928,GLAD
6755319,GLDD
6758601,GLG
6758980,GLNG
6763133,GLOG
6765091,GLPI
6766663,GLRE
909222,GLT
914235,GLUU
4391343,GLW
4396355,GM
6769844,GMAN
917460,GME
2841449,GMED
6770059,GMO
6773809,GMRE
921942,GMS
6774699,GNC
6776908,GNCA
6778402,GNE
6780467,GNK
922855,GNL
6781827,GNMK
6784249,GNOM
6784439,GNRC
2843303,GNTX
6786935,GNTY
2848316,GNW
6787609,GOGO
6789260,GOLF
6790065,GOOD
6794196,GORO
923989,GPI
6797550,GPK
929002,GPOR
934015,GPRE
6802583,GPRO
4398619,GPS
6803979,GPX
6809012,GRA
6814045,GRBK
6817212,GRC
6822245,GRIF
4403631,GRMN
6827278,GRNB
6827997,GROW
6833030,GRPN
2852226,GRUB
6835088,GSAT
6838407,GSBC
6843440,GSIT
6846660,GSM
6849291,GSS
6853896,GSX
2853679,GT
6854048,GTAT
6855616,GTE
937459,GTLS
6859153,GTN
6863524,GTS
6866568,GTT
940811,GTY
2858720,GVA
6869869,GVP
945824,GWB
2863733,GWR
6874902,GWRE
6876906,GWRS
6877839,H
947114,HA
6880401,HABT
2868746,HAE
952127,HAFC
2873759,HAIN
4408385,HAL
6881694,HALL
6886727,HALO
6890711,HASI
957140,HAYN
4413397,HBAN
6892407,HBCP
4418409,HBI
6895241,HBIO
6899975,HBMD
6903061,HBNC
6907609,HBP
960330,HCC
6910383,HCCI
6913363,HCHC
965385,HCI
6916007,HCKT
6921040,HCR
2878772,HCSG
6921195,HDS
6922842,HDSN
2883785,HE
6927875,HEES
6931386,HEI
2888798,HELE
6936419,HERO
4421728,HES
4426740,HFC
968201,HFWA
6936468,HGV
6937228,HHC
6939538,HHS
973214,HI
976148,HIBB
6944571,HIFS
4431752,HIG
6949604,HIIQ
6951347,HIL
2893811,HIW
6955184,HL
6960217,HLF
6964010,HLI
981161,HLIT
6965121,HLNE
986174,HLX
6965843,HMHC
991187,HMN
996200,HMST
998161,HMSY
6967392,HMTV
2898824,HNI
6969097,HNRG
6974130,HOFT
4436764,HOG
4441776,HOLX
2903837,HOMB
6978916,HOME
6979781,HONE
6980670,HOOK
1003174,HOPE
6980855,HOS
6984818,HOV
4446788,HP
4451800,HPE
6989851,HPP
4452833,HPQ
2907225,HQY
2908582,HR
4457845,HRB
2913595,HRC
6992255,HRI
4462857,HRL
6995564,HRTG
6996983,HRTX
7002016,HRZN
1008187,HSC
4467869,HSIC
1013200,HSII
1018213,HSKA
4472881,HST
1023226,HSTM
1028152,HT
7004331,HTA
7006243,HTBI
7008131,HTBK
7013164,HTGC
7016837,HTH
1033165,HTLD
7020839,HTLF
7025872,HTZ
2918608,HUBB
1038178,HUBG
7029181,HUBS
7030504,HUN
7034257,HURC
7039290,HURN
7043128,HUSA
1043191,HVT
7047653,HWCC
1048204,HWKN
7051070,HXL
7056103,HY
7057934,HZN
7059075,HZNP
1053217,HZO
7061203,I
7062899,IAC
2919612,IART
7067932,IBCP
7072718,IBKC
2924625,IBKR
2927798,IBOC
1058230,IBP
7077751,IBTX
7079457,ICBK
7080712,ICD
4477893,ICE
7082078,ICFI
1059689,ICHR
7085422,ICLK
7085938,ICON
7090971,ICPT
2932811,ICUI
2937824,IDA
2942837,IDCC
7092794,IDRA
7097827,IDT
7102520,IESC
7107553,IGT
7112586,IHC
7117619,III
1060465,IIIN
2947850,IIVI
7120871,IMAX
7125904,IMGN
7130937,IMH
7135970,IMKTA
7141003,IMMR
7146036,IMMU
7151069,INAP
7156102,INBK
4481412,INCY
1065478,INDB
7159888,INFI
7164782,INFN
4486424,INFO
7167954,INFY
1070491,INGN
2952863,INGR
1071949,INN
7172987,INO
7178020,INOD
7183053,INOV
7184290,INSE
7185053,INSM
7189987,INSP
7190413,INST
7191459,INSU
7191607,INSW
2957876,INT
4487792,INTC
1074162,INTL
1079175,INVA
7192389,INVE
7197422,INVH
7198163,INWK
7201537,IO
7206570,IONS
1083802,IOSP
4492804,IP
1088815,IPAR
4497816,IPG
7211602,IPHI
1093828,IPHS
7213907,IPI
1097110,IRBT
1100638,IRDM
7216859,IRET
4502828,IRM
1103577,IRT
7221892,IRTC
7222703,IRWD
7225205,ISBC
7228791,ISSC
7233680,ISTR
7235073,ITCI
1105162,ITGR
7236587,ITI
7241620,ITIC
1109969,ITRI
2962889,ITT
7246653,IVAC
1114982,IVC
1119995,IVR
4507840,IVZ
2967902,JACK
1122612,JAG
7251686,JAKK
7256719,JAX
7257798,JAZZ
2972915,JBL
2977928,JBLU
1123355,JBSS
1128368,JBT
7260974,JCAP
4512852,JCI
2982370,JCOM
1131222,JCP
7262181,JCS
4517864,JEC
2987383,JEF
7267214,JELD
7267958,JILL
1136235,JJSF
2992424,JLL
7268674,JMP
7271864,JNCE
4522876,JNPR
7272608,JOE
7277641,JOUT
1141248,JRVR
4527888,JWN
4532900,K
7282674,KAI
1142497,KALU
1145862,KAMN
2997437,KAR
7287707,KBAL
2999974,KBH
3004987,KBR
7292740,KE
1150875,KELYA
1155888,KEM
3008273,KEX
4537912,KEY
7294046,KFFB
7297786,KFRC
1160901,KFY
4542924,KHC
4544031,KIM
7302819,KIN
7304349,KINS
1165914,KLIC
4549040,KMI
3013285,KMPR
3018298,KMT
4551247,KMX
1170927,KN
7309382,KNL
1172385,KNSL
3023311,KNX
4556259,KO
7313177,KODK
1173255,KOP
7314764,KOS
7316946,KPTI
4561271,KR
1176728,KRA
